Attribute,Data Type,Unique Items,Available Unique Items,Missing Values,Statistical Measure Type,Statistical Measure Value
ID,object,3870,"['ID_GTFAC7PEVWQ9' 'ID_TK40ARLSPOKS' 'ID_1FJY2CRIMLZZ' ...
 'ID_RBYVUPRATVMW' 'ID_ARE9QWENJNJ2' 'ID_KEPOQDTCZC6S']",0,Mode,ID_001QL5V4IJIB
District,object,4,['Nalanda' 'Gaya' 'Vaishali' 'Jamui'],0,Mode,Nalanda
Block,object,9,"['Noorsarai' 'Rajgir' 'Gurua' 'Garoul' 'Khaira' 'Jamui' 'Mahua'
 'Chehrakala' 'Wazirganj']",0,Mode,Rajgir
CultLand,int64,95,"[ 45  26  10  15  60  12  80  25  20  30  50  29  23  40  19   5  13   9
  17   6  14  18  70  27  22  28  35  38  21   7   8  24  65 100  32  48
   2  11  16  36   3  42   1  52  55  39  68  33  43  59  58   4  57 415
 140  90  56  34 380 190  95  51 104 200 110 280  41  49  46 120  31  85
 260  67  62  64 320  82 250 170  84  44 420 220  66 800  96 130  73  75
 400 160 105 240  71]",0,Mean,28.527906976744188
CropCultLand,int64,91,"[ 40  26  10  15  60   5  12  80  25  14  30  50  29  20   3  35   8   9
   6  70  22  32   4  28  18  21  19  65  23   2  45  11   7  17  48  36
  13 100   1  16  55  90  52  68  38  33  58  72 400 140  67  56  34 300
 190  95  44 104 200 120 240  42  31  24  85 260 220  62  82 250  41  75
  64 110 340  27  66 800  46  96  43 130  73 170 195 320  49  53 107 105
 180]",0,Mean,24.727131782945737
LandPreparationMethod,object,43,"['TractorPlough FourWheelTracRotavator'
 'WetTillagePuddling TractorPlough FourWheelTracRotavator'
 'TractorPlough WetTillagePuddling' 'TractorPlough'
 'FourWheelTracRotavator' 'WetTillagePuddling'
 'TractorPlough BullockPlough'
 'WetTillagePuddling TractorPlough FourWheelTracRotavator BullockPlough'
 'WetTillagePuddling TractorPlough BullockPlough'
 'WetTillagePuddling TractorPlough' 'FourWheelTracRotavator TractorPlough'
 'WetTillagePuddling FourWheelTracRotavator'
 'WetTillagePuddling FourWheelTracRotavator BullockPlough TractorPlough'
 'WetTillagePuddling BullockPlough TractorPlough FourWheelTracRotavator'
 'TractorPlough WetTillagePuddling FourWheelTracRotavator'
 'BullockPlough TractorPlough WetTillagePuddling FourWheelTracRotavator'
 'WetTillagePuddling FourWheelTracRotavator TractorPlough'
 'WetTillagePuddling FourWheelTracRotavator TractorPlough BullockPlough'
 'TractorPlough FourWheelTracRotavator WetTillagePuddling'
 'FourWheelTracRotavator WetTillagePuddling'
 'TractorPlough WetTillagePuddling BullockPlough'
 'TractorPlough WetTillagePuddling FourWheelTracRotavator BullockPlough'
 'FourWheelTracRotavator TractorPlough WetTillagePuddling'
 'WetTillagePuddling TractorPlough BullockPlough FourWheelTracRotavator'
 'BullockPlough FourWheelTracRotavator TractorPlough WetTillagePuddling'
 'BullockPlough TractorPlough' 'FourWheelTracRotavator BullockPlough'
 'Other' 'TractorPlough FourWheelTracRotavator BullockPlough'
 'WetTillagePuddling BullockPlough FourWheelTracRotavator TractorPlough'
 'WetTillagePuddling Other'
 'FourWheelTracRotavator BullockPlough WetTillagePuddling TractorPlough'
 'WetTillagePuddling BullockPlough TractorPlough'
 'FourWheelTracRotavator WetTillagePuddling TractorPlough'
 'FourWheelTracRotavator WetTillagePuddling BullockPlough TractorPlough'
 'TractorPlough BullockPlough WetTillagePuddling'
 'BullockPlough TractorPlough WetTillagePuddling' 'TractorPlough Other'
 'TractorPlough WetTillagePuddling BullockPlough FourWheelTracRotavator'
 'BullockPlough WetTillagePuddling' 'BullockPlough'
 'TractorPlough FourWheelTracRotavator BullockPlough WetTillagePuddling'
 'TractorPlough FourWheelTracRotavator WetTillagePuddling BullockPlough']",0,Mode,TractorPlough
CropTillageDate,object,78,"['2022-07-20' '2022-07-18' '2022-06-30' '2022-06-16' '2022-07-19'
 '2022-07-02' '2022-07-23' '2022-06-27' '2022-07-24' '2022-07-14'
 '2022-07-21' '2022-06-29' '2022-07-10' '2022-07-25' '2022-07-08'
 '2022-06-12' '2022-07-13' '2022-07-16' '2022-07-26' '2022-07-05'
 '2022-06-07' '2022-06-25' '2022-07-27' '2022-07-12' '2022-06-05'
 '2022-07-17' '2022-07-01' '2022-07-15' '2022-07-22' '2022-06-24'
 '2022-06-20' '2022-08-08' '2022-08-13' '2022-06-28' '2022-06-22'
 '2022-07-06' '2022-07-07' '2022-07-03' '2022-07-04' '2022-06-10'
 '2022-06-11' '2022-08-10' '2022-06-26' '2022-07-28' '2022-06-23'
 '2022-07-30' '2022-08-16' '2022-06-17' '2022-06-19' '2022-08-06'
 '2022-07-11' '2022-07-09' '2022-06-08' '2022-08-04' '2022-06-15'
 '2022-06-13' '2022-07-29' '2022-08-11' '2022-08-03' '2022-06-14'
 '2022-07-31' '2022-06-04' '2022-06-09' '2022-08-01' '2022-05-30'
 '2022-08-05' '2022-08-07' '2022-08-02' '2022-06-21' '2022-06-18'
 '2022-08-12' '2022-08-18' '2022-08-09' '2022-06-01' '2022-06-06'
 '2022-08-27' '2022-08-15' '2022-06-02']",0,Mode,2022-07-20
CropTillageDepth,int64,8,[5 6 4 3 2 8 7 1],0,Mean,4.488372093023256
CropEstMethod,object,4,"['Manual_PuddledRandom' 'Manual_PuddledLine' 'Broadcasting'
 'LineSowingAfterTillage']",0,Mode,Manual_PuddledRandom
RcNursEstDate,object,61,"['2022-06-27' '2022-06-20' '2022-06-17' '2022-06-21' '2022-06-15'
 '2022-07-05' nan '2022-07-09' '2022-06-30' '2022-06-23' '2022-06-19'
 '2022-06-25' '2022-06-18' '2022-07-04' '2022-06-26' '2022-06-13'
 '2022-07-07' '2022-06-02' '2022-06-29' '2022-07-06' '2022-06-22'
 '2022-06-28' '2022-07-15' '2022-07-08' '2022-06-08' '2022-06-24'
 '2022-07-27' '2022-07-02' '2022-06-16' '2022-07-01' '2022-07-03'
 '2022-06-01' '2022-07-23' '2022-07-14' '2022-06-03' '2022-07-11'
 '2022-06-14' '2022-07-19' '2022-07-13' '2022-07-30' '2022-07-28'
 '2022-06-04' '2022-06-12' '2022-07-10' '2022-07-20' '2022-07-31'
 '2022-06-10' '2022-07-22' '2022-06-09' '2022-07-12' '2022-07-18'
 '2022-07-26' '2022-06-11' '2022-07-16' '2022-06-05' '2022-07-17'
 '2022-07-25' '2022-07-21' '2022-07-29' '2022-07-24' '2022-06-07'
 '2022-06-06']",83,Mode,2022-06-28
SeedingSowingTransplanting,object,62,"['2022-07-21' '2022-07-20' '2022-08-13' '2022-07-17' '2022-07-06'
 '2022-07-30' '2022-07-22' '2022-08-02' '2022-07-16' '2022-07-26'
 '2022-07-24' '2022-07-29' '2022-07-27' '2022-07-12' '2022-07-28'
 '2022-07-11' '2022-07-14' '2022-08-04' '2022-07-10' '2022-07-04'
 '2022-08-14' '2022-07-19' '2022-07-15' '2022-08-03' '2022-08-10'
 '2022-07-07' '2022-07-18' '2022-08-19' '2022-08-25' '2022-08-01'
 '2022-07-08' '2022-08-28' '2022-08-05' '2022-08-12' '2022-08-22'
 '2022-07-25' '2022-08-17' '2022-08-23' '2022-07-09' '2022-07-31'
 '2022-08-09' '2022-07-23' '2022-07-02' '2022-07-05' '2022-08-24'
 '2022-07-13' '2022-08-16' '2022-08-08' '2022-08-27' '2022-08-21'
 '2022-08-15' '2022-08-20' '2022-07-03' '2022-08-11' '2022-08-06'
 '2022-08-07' '2022-08-30' '2022-08-18' '2022-07-01' '2022-08-31'
 '2022-08-29' '2022-08-26']",0,Mode,2022-07-28
SeedlingsPerPit,float64,21,"[  2.   1.   4.  nan   3.   5.   6.   8.   7.  12.   9.  13. 442.  14.
  20.  11.  16.  10.  22.  18.  15.  19.]",289,Mean,2.706506562412734
NursDetFactor,object,125,"['CalendarDate IrrigWaterAvailability SeedAvailability'
 'CalendarDate PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability LabourAvailability'
 'CalendarDate SeedAvailability' nan 'LabourAvailability'
 'CalendarDate IrrigWaterAvailability' 'SeedAvailability'
 'PreMonsoonShowers SeedAvailability'
 'CalendarDate PreMonsoonShowers LabourAvailability IrrigWaterAvailability'
 'CalendarDate' 'IrrigWaterAvailability LabourAvailability'
 'IrrigWaterAvailability SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability'
 'CalendarDate LabourAvailability SeedAvailability'
 'CalendarDate SeedAvailability IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability LabourAvailability SeedAvailability'
 'CalendarDate PreMonsoonShowers IrrigWaterAvailability SeedAvailability'
 'SeedAvailability IrrigWaterAvailability'
 'IrrigWaterAvailability CalendarDate SeedAvailability'
 'CalendarDate SeedAvailability LabourAvailability'
 'CalendarDate PreMonsoonShowers SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability'
 'CalendarDate LabourAvailability SeedAvailability IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability LabourAvailability PreMonsoonShowers'
 'CalendarDate IrrigWaterAvailability PreMonsoonShowers'
 'IrrigWaterAvailability' 'PreMonsoonShowers'
 'CalendarDate PreMonsoonShowers IrrigWaterAvailability LabourAvailability'
 'CalendarDate PreMonsoonShowers LabourAvailability IrrigWaterAvailability SeedAvailability'
 'PreMonsoonShowers SeedAvailability LabourAvailability'
 'IrrigWaterAvailability SeedAvailability CalendarDate'
 'PreMonsoonShowers CalendarDate'
 'CalendarDate PreMonsoonShowers IrrigWaterAvailability SeedAvailability LabourAvailability'
 'CalendarDate PreMonsoonShowers IrrigWaterAvailability'
 'SeedAvailability CalendarDate PreMonsoonShowers'
 'SeedAvailability IrrigWaterAvailability CalendarDate'
 'IrrigWaterAvailability LabourAvailability SeedAvailability'
 'CalendarDate LabourAvailability PreMonsoonShowers IrrigWaterAvailability'
 'CalendarDate PreMonsoonShowers LabourAvailability'
 'CalendarDate PreMonsoonShowers'
 'IrrigWaterAvailability PreMonsoonShowers'
 'IrrigWaterAvailability CalendarDate'
 'LabourAvailability IrrigWaterAvailability PreMonsoonShowers SeedAvailability'
 'LabourAvailability IrrigWaterAvailability SeedAvailability'
 'CalendarDate PreMonsoonShowers LabourAvailability SeedAvailability IrrigWaterAvailability'
 'CalendarDate LabourAvailability'
 'IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability'
 'CalendarDate IrrigWaterAvailability LabourAvailability'
 'PreMonsoonShowers CalendarDate IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability LabourAvailability SeedAvailability PreMonsoonShowers'
 'LabourAvailability IrrigWaterAvailability CalendarDate PreMonsoonShowers'
 'CalendarDate PreMonsoonShowers LabourAvailability SeedAvailability'
 'PreMonsoonShowers CalendarDate LabourAvailability'
 'IrrigWaterAvailability LabourAvailability SeedAvailability PreMonsoonShowers CalendarDate'
 'IrrigWaterAvailability SeedAvailability LabourAvailability'
 'PreMonsoonShowers CalendarDate IrrigWaterAvailability LabourAvailability'
 'IrrigWaterAvailability LabourAvailability CalendarDate PreMonsoonShowers'
 'SeedAvailability CalendarDate IrrigWaterAvailability'
 'PreMonsoonShowers IrrigWaterAvailability CalendarDate'
 'SeedAvailability CalendarDate'
 'PreMonsoonShowers IrrigWaterAvailability SeedAvailability LabourAvailability'
 'LabourAvailability SeedAvailability IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability SeedAvailability LabourAvailability'
 'CalendarDate IrrigWaterAvailability PreMonsoonShowers LabourAvailability SeedAvailability'
 'CalendarDate LabourAvailability SeedAvailability PreMonsoonShowers IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability SeedAvailability PreMonsoonShowers'
 'IrrigWaterAvailability LabourAvailability PreMonsoonShowers'
 'SeedAvailability LabourAvailability IrrigWaterAvailability PreMonsoonShowers CalendarDate'
 'PreMonsoonShowers LabourAvailability SeedAvailability'
 'LabourAvailability SeedAvailability'
 'PreMonsoonShowers LabourAvailability IrrigWaterAvailability'
 'PreMonsoonShowers CalendarDate IrrigWaterAvailability LabourAvailability SeedAvailability'
 'CalendarDate IrrigWaterAvailability PreMonsoonShowers LabourAvailability'
 'CalendarDate LabourAvailability IrrigWaterAvailability SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability CalendarDate SeedAvailability'
 'IrrigWaterAvailability PreMonsoonShowers CalendarDate'
 'LabourAvailability SeedAvailability PreMonsoonShowers IrrigWaterAvailability'
 'LabourAvailability IrrigWaterAvailability'
 'IrrigWaterAvailability PreMonsoonShowers LabourAvailability SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability SeedAvailability CalendarDate'
 'IrrigWaterAvailability LabourAvailability SeedAvailability PreMonsoonShowers'
 'IrrigWaterAvailability LabourAvailability CalendarDate'
 'SeedAvailability LabourAvailability'
 'IrrigWaterAvailability SeedAvailability LabourAvailability PreMonsoonShowers'
 'LabourAvailability PreMonsoonShowers IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability PreMonsoonShowers SeedAvailability'
 'PreMonsoonShowers LabourAvailability'
 'IrrigWaterAvailability LabourAvailability PreMonsoonShowers CalendarDate'
 'CalendarDate SeedAvailability IrrigWaterAvailability LabourAvailability'
 'SeedAvailability LabourAvailability IrrigWaterAvailability PreMonsoonShowers'
 'IrrigWaterAvailability PreMonsoonShowers CalendarDate LabourAvailability SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability CalendarDate'
 'IrrigWaterAvailability LabourAvailability SeedAvailability CalendarDate'
 'PreMonsoonShowers CalendarDate IrrigWaterAvailability SeedAvailability'
 'IrrigWaterAvailability CalendarDate PreMonsoonShowers LabourAvailability'
 'IrrigWaterAvailability PreMonsoonShowers SeedAvailability'
 'LabourAvailability SeedAvailability IrrigWaterAvailability PreMonsoonShowers'
 'CalendarDate PreMonsoonShowers SeedAvailability IrrigWaterAvailability LabourAvailability'
 'CalendarDate SeedAvailability PreMonsoonShowers IrrigWaterAvailability'
 'IrrigWaterAvailability CalendarDate LabourAvailability SeedAvailability'
 'LabourAvailability CalendarDate IrrigWaterAvailability'
 'CalendarDate PreMonsoonShowers SeedAvailability LabourAvailability IrrigWaterAvailability'
 'CalendarDate LabourAvailability IrrigWaterAvailability PreMonsoonShowers'
 'SeedAvailability IrrigWaterAvailability PreMonsoonShowers CalendarDate'
 'CalendarDate SeedAvailability LabourAvailability IrrigWaterAvailability'
 'SeedAvailability LabourAvailability IrrigWaterAvailability'
 'CalendarDate SeedAvailability LabourAvailability IrrigWaterAvailability PreMonsoonShowers'
 'IrrigWaterAvailability CalendarDate LabourAvailability'
 'IrrigWaterAvailability CalendarDate PreMonsoonShowers SeedAvailability'
 'SeedAvailability IrrigWaterAvailability PreMonsoonShowers'
 'IrrigWaterAvailability LabourAvailability CalendarDate SeedAvailability'
 'CalendarDate LabourAvailability IrrigWaterAvailability'
 'PreMonsoonShowers SeedAvailability CalendarDate'
 'LabourAvailability IrrigWaterAvailability CalendarDate'
 'PreMonsoonShowers LabourAvailability IrrigWaterAvailability SeedAvailability'
 'SeedAvailability IrrigWaterAvailability CalendarDate PreMonsoonShowers LabourAvailability'
 'SeedAvailability LabourAvailability CalendarDate IrrigWaterAvailability'
 'IrrigWaterAvailability SeedAvailability PreMonsoonShowers'
 'PreMonsoonShowers SeedAvailability LabourAvailability IrrigWaterAvailability'
 'PreMonsoonShowers LabourAvailability CalendarDate IrrigWaterAvailability'
 'PreMonsoonShowers IrrigWaterAvailability SeedAvailability LabourAvailability CalendarDate'
 'IrrigWaterAvailability SeedAvailability CalendarDate LabourAvailability'
 'LabourAvailability CalendarDate'
 'LabourAvailability IrrigWaterAvailability PreMonsoonShowers']",289,Mode,CalendarDate PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability
TransDetFactor,object,155,"['CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability'
 'SeedlingAge IrrigWaterAvailability LaborAvailability'
 'SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability'
 'CalendarDate SeedlingAge RainArrival IrrigWaterAvailability' nan
 'CalendarDate RainArrival IrrigWaterAvailability LaborAvailability SeedlingAge'
 'CalendarDate RainArrival' 'CalendarDate SeedlingAge'
 'SeedlingAge IrrigWaterAvailability'
 'CalendarDate SeedlingAge RainArrival'
 'SeedlingAge CalendarDate RainArrival IrrigWaterAvailability LaborAvailability'
 'CalendarDate SeedlingAge IrrigWaterAvailability LaborAvailability'
 'RainArrival' 'CalendarDate'
 'IrrigWaterAvailability RainArrival SeedlingAge'
 'RainArrival IrrigWaterAvailability'
 'RainArrival IrrigWaterAvailability LaborAvailability'
 'CalendarDate SeedlingAge RainArrival LaborAvailability IrrigWaterAvailability'
 'LaborAvailability IrrigWaterAvailability CalendarDate'
 'CalendarDate RainArrival IrrigWaterAvailability LaborAvailability'
 'SeedlingAge LaborAvailability RainArrival IrrigWaterAvailability'
 'LaborAvailability IrrigWaterAvailability RainArrival'
 'CalendarDate SeedlingAge IrrigWaterAvailability LaborAvailability RainArrival'
 'CalendarDate SeedlingAge RainArrival LaborAvailability'
 'SeedlingAge RainArrival IrrigWaterAvailability'
 'SeedlingAge RainArrival' 'RainArrival SeedlingAge'
 'CalendarDate IrrigWaterAvailability SeedlingAge RainArrival'
 'CalendarDate IrrigWaterAvailability RainArrival SeedlingAge LaborAvailability'
 'CalendarDate RainArrival SeedlingAge IrrigWaterAvailability'
 'CalendarDate RainArrival LaborAvailability' 'LaborAvailability'
 'CalendarDate SeedlingAge IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability LaborAvailability SeedlingAge'
 'IrrigWaterAvailability' 'SeedlingAge'
 'IrrigWaterAvailability SeedlingAge'
 'SeedlingAge IrrigWaterAvailability LaborAvailability RainArrival'
 'CalendarDate RainArrival IrrigWaterAvailability SeedlingAge'
 'SeedlingAge RainArrival LaborAvailability CalendarDate'
 'SeedlingAge CalendarDate IrrigWaterAvailability LaborAvailability'
 'SeedlingAge CalendarDate IrrigWaterAvailability RainArrival'
 'CalendarDate SeedlingAge IrrigWaterAvailability RainArrival'
 'LaborAvailability CalendarDate IrrigWaterAvailability'
 'IrrigWaterAvailability LaborAvailability'
 'CalendarDate IrrigWaterAvailability RainArrival SeedlingAge'
 'LaborAvailability IrrigWaterAvailability RainArrival SeedlingAge CalendarDate'
 'SeedlingAge IrrigWaterAvailability RainArrival CalendarDate'
 'RainArrival CalendarDate'
 'CalendarDate IrrigWaterAvailability LaborAvailability RainArrival'
 'RainArrival IrrigWaterAvailability SeedlingAge'
 'CalendarDate IrrigWaterAvailability'
 'LaborAvailability IrrigWaterAvailability' 'SeedlingAge CalendarDate'
 'SeedlingAge IrrigWaterAvailability RainArrival'
 'LaborAvailability IrrigWaterAvailability RainArrival SeedlingAge'
 'RainArrival IrrigWaterAvailability LaborAvailability SeedlingAge CalendarDate'
 'SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability CalendarDate'
 'SeedlingAge RainArrival LaborAvailability IrrigWaterAvailability'
 'RainArrival CalendarDate IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability LaborAvailability'
 'CalendarDate LaborAvailability IrrigWaterAvailability RainArrival'
 'RainArrival SeedlingAge CalendarDate'
 'IrrigWaterAvailability SeedlingAge LaborAvailability'
 'CalendarDate SeedlingAge LaborAvailability IrrigWaterAvailability'
 'SeedlingAge CalendarDate RainArrival IrrigWaterAvailability'
 'CalendarDate SeedlingAge IrrigWaterAvailability RainArrival LaborAvailability'
 'IrrigWaterAvailability CalendarDate LaborAvailability'
 'IrrigWaterAvailability SeedlingAge CalendarDate'
 'IrrigWaterAvailability CalendarDate'
 'CalendarDate RainArrival IrrigWaterAvailability'
 'CalendarDate RainArrival LaborAvailability SeedlingAge IrrigWaterAvailability'
 'IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge'
 'CalendarDate IrrigWaterAvailability LaborAvailability SeedlingAge RainArrival'
 'SeedlingAge RainArrival CalendarDate IrrigWaterAvailability'
 'RainArrival LaborAvailability'
 'IrrigWaterAvailability RainArrival SeedlingAge CalendarDate'
 'CalendarDate IrrigWaterAvailability RainArrival'
 'LaborAvailability IrrigWaterAvailability SeedlingAge CalendarDate'
 'IrrigWaterAvailability LaborAvailability RainArrival'
